8.46292	0.243462	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0
8.44827	0.251501	-0.209216	0.114846	8.44818	0.251553	8.45	0.25	-3.00027	0
8.4378	0.25725	-0.209216	0.114846	8.56759	0.241943	8.45	0.25	0	0
8.45561	0.254064	0.0681325	0.0272156	8.45582	0.253997	8.45	0.25	0	0
8.45935	0.25556	0.0681325	0.0272156	8.42544	0.254042	8.35	0.25	-1.81979	0
8.27432	0.250386	-0.9992	-0.0104922	8.23962	0.24916	8.25	0.25	-1.81978	0
8.22436	0.249861	-0.9992	-0.0104922	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.94327	0.187356	-1.95659	-0.267234	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.84544	0.173994	-1.95659	-0.267234	7.61269	0.155818	7.7	0.15	-2.99982	0
7.62436	0.160043	-2.36595	-0.269188	7.54016	0.159641	7.55	0.15	-2.99982	0
7.49411	0.145224	-2.36595	-0.269188	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.35242	0.0787994	-2.39781	-0.412888	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.2206	0.0561009	-2.39781	-0.412888	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.07175	-0.00912982	-2.43997	-0.518234	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.93761	-0.0376203	-2.43997	-0.518234	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.82449	-0.153642	-2.39132	-0.72087	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.70497	-0.189672	-2.39132	-0.72087	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.60965	-0.324825	-2.3368	-0.944134	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.49267	-0.372086	-2.3368	-0.944134	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.44895	-0.511229	-2.1731	-1.14948	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.32938	-0.574474	-2.1731	-1.14948	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.30777	-0.801477	-1.95387	-1.51595	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
6.20036	-0.884818	-1.95387	-1.51595	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
